TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	23/02/09
TIME	12:28:50
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-560, Rev. 1.00
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	900.0000
LASTX	250.0000
NPOINTS	651
FIRSTY	-0.00330
MAXY	0.49912
MINY	-0.00330
XYDATA
720.0000	0.00823
719.0000	0.00817
718.0000	0.00828
717.0000	0.00831
716.0000	0.0083
715.0000	0.00843
714.0000	0.00855
713.0000	0.00864
712.0000	0.00876
711.0000	0.00885
710.0000	0.00899
709.0000	0.00912
708.0000	0.00917
707.0000	0.00929
706.0000	0.0094
705.0000	0.00948
704.0000	0.00957
703.0000	0.0097
702.0000	0.0098
701.0000	0.00994
700.0000	0.01005
699.0000	0.01009
698.0000	0.01016
697.0000	0.01025
696.0000	0.0103
695.0000	0.01026
694.0000	0.01032
693.0000	0.01031
692.0000	0.01038
691.0000	0.0104
690.0000	0.01058
689.0000	0.01063
688.0000	0.01073
687.0000	0.01081
686.0000	0.01087
685.0000	0.01094
684.0000	0.011
683.0000	0.011
682.0000	0.01103
681.0000	0.01104
680.0000	0.01108
679.0000	0.011
678.0000	0.01109
677.0000	0.01109
676.0000	0.01114
675.0000	0.01113
674.0000	0.01115
673.0000	0.01127
672.0000	0.01125
671.0000	0.01144
670.0000	0.01154
669.0000	0.0116
668.0000	0.01159
667.0000	0.01162
666.0000	0.01166
665.0000	0.01162
664.0000	0.01156
663.0000	0.01156
662.0000	0.01165
661.0000	0.01173
660.0000	0.01172
659.0000	0.01172
658.0000	0.01187
657.0000	0.01197
656.0000	0.01195
655.0000	0.01204
654.0000	0.01214
653.0000	0.0122
652.0000	0.01222
651.0000	0.01231
650.0000	0.01241
649.0000	0.0125
648.0000	0.01259
647.0000	0.01272
646.0000	0.01285
645.0000	0.01288
644.0000	0.01301
643.0000	0.01314
642.0000	0.01324
641.0000	0.01328
640.0000	0.01337
639.0000	0.01362
638.0000	0.0137
637.0000	0.01393
636.0000	0.01409
635.0000	0.01439
634.0000	0.0146
633.0000	0.01479
632.0000	0.01502
631.0000	0.01528
630.0000	0.01556
629.0000	0.01588
628.0000	0.01621
627.0000	0.01656
626.0000	0.0169
625.0000	0.0172
624.0000	0.01762
623.0000	0.01804
622.0000	0.01846
621.0000	0.01886
620.0000	0.01936
619.0000	0.01993
618.0000	0.02046
617.0000	0.02099
616.0000	0.02164
615.0000	0.02237
614.0000	0.02304
613.0000	0.0238
612.0000	0.02451
611.0000	0.02532
610.0000	0.02607
