TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	23/02/09
TIME	12:36:35
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-560, Rev. 1.00
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	900.0000
LASTX	250.0000
NPOINTS	651
FIRSTY	-0.00015
MAXY	4.57906
MINY	-0.00123
XYDATA
750.0000	-8.6E-04
749.0000	-6.3E-04
748.0000	-4.9E-04
747.0000	-4.59999E-04
746.0000	-4.3E-04
745.0000	-4.5E-04
744.0000	-3.59999E-04
743.0000	-3.99999E-04
742.0000	-3.79999E-04
741.0000	-4.09999E-04
740.0000	-3E-04
739.0000	-3.5E-04
738.0000	-3.79999E-04
737.0000	-2.2E-04
736.0000	-8.99994E-05
735.0000	-1.29999E-04
734.0000	3.00006E-05
733.0000	-1.19999E-04
732.0000	1.99999E-05
731.0000	-1.29999E-04
730.0000	-1.2E-04
729.0000	-1.60001E-04
728.0000	-2.1E-04
727.0000	-2.1E-04
726.0000	-6.99996E-05
725.0000	-1.2E-04
724.0000	-6.99994E-05
723.0000	-4.00007E-05
722.0000	-4.00004E-05
721.0000	-6.00004E-05
720.0000	-7.99997E-05
719.0000	-2.6E-04
718.0000	-2.19999E-04
717.0000	-2.99999E-04
716.0000	-3.7E-04
715.0000	-3.10001E-04
714.0000	-1.99999E-04
713.0000	-1.59999E-04
712.0000	-1.8E-04
711.0000	-2.59999E-04
710.0000	-2.19999E-04
709.0000	-2.1E-04
708.0000	-2.2E-04
707.0000	-2.4E-04
706.0000	-2.3E-04
705.0000	-1.5E-04
704.0000	-1.79999E-04
703.0000	-1.69999E-04
702.0000	-1.3E-04
701.0000	-9E-05
700.0000	-6.00005E-05
699.0000	-1.80001E-04
698.0000	-1.4E-04
697.0000	-1.6E-04
696.0000	-2.9E-04
695.0000	-3.6E-04
694.0000	-3.90001E-04
693.0000	-4.60001E-04
692.0000	-4.69999E-04
691.0000	-4.7E-04
690.0000	-3.59999E-04
689.0000	-3.10001E-04
688.0000	-2.5E-04
687.0000	-2.1E-04
686.0000	-2E-04
685.0000	-2.1E-04
684.0000	-1.3E-04
683.0000	-9.00005E-05
682.0000	-1.1E-04
681.0000	-1.59999E-04
680.0000	-1.99999E-04
679.0000	-2.59999E-04
678.0000	-1.5E-04
677.0000	-2.4E-04
676.0000	-2.6E-04
675.0000	-3.1E-04
674.0000	-3.5E-04
673.0000	-2.3E-04
672.0000	-3.2E-04
671.0000	-2.7E-04
670.0000	-2.60001E-04
669.0000	-1.60001E-04
668.0000	-1.79999E-04
667.0000	-1.30001E-04
