TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	23/02/09
TIME	13:22:59
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-560, Rev. 1.00
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	900.0000
LASTX	250.0000
NPOINTS	651
FIRSTY	-0.00295
MAXY	4.58872
MINY	-0.00295
XYDATA
745.0000	0.00143
744.0000	0.00153
743.0000	0.00145
742.0000	0.0016
741.0000	0.00167
740.0000	0.00179
739.0000	0.0018
738.0000	0.00177
737.0000	0.00178
736.0000	0.00192
735.0000	0.0019
734.0000	0.00203
733.0000	0.002
732.0000	0.0022
731.0000	0.00224
730.0000	0.00229
729.0000	0.0023
728.0000	0.00238
727.0000	0.00239
726.0000	0.00238
725.0000	0.00232
724.0000	0.00241
723.0000	0.00253
722.0000	0.00258
721.0000	0.00264
720.0000	0.00275
719.0000	0.00262
718.0000	0.00264
717.0000	0.00263
716.0000	0.00252
715.0000	0.00251
714.0000	0.00257
713.0000	0.00267
712.0000	0.00275
711.0000	0.00279
710.0000	0.0029
709.0000	0.00299
708.0000	0.00306
707.0000	0.00305
706.0000	0.00307
705.0000	0.00309
704.0000	0.00321
703.0000	0.00317
702.0000	0.00327
701.0000	0.0034
700.0000	0.00348
699.0000	0.00348
698.0000	0.0035
697.0000	0.00348
696.0000	0.00347
695.0000	0.00338
694.0000	0.00332
693.0000	0.00325
692.0000	0.0033
691.0000	0.00335
690.0000	0.00348
689.0000	0.00353
688.0000	0.0036
687.0000	0.00364
686.0000	0.00373
685.0000	0.00376
684.0000	0.00391
683.0000	0.00381
682.0000	0.00387
681.0000	0.00386
680.0000	0.00383
679.0000	0.00386
678.0000	0.00392
677.0000	0.00383
676.0000	0.00384
675.0000	0.00382
674.0000	0.00384
673.0000	0.00386
672.0000	0.00376
671.0000	0.0039
670.0000	0.004
669.0000	0.00406
668.0000	0.004
667.0000	0.00402
666.0000	0.00413
665.0000	0.00407
664.0000	0.00398
663.0000	0.00395
662.0000	0.00412
661.0000	0.00416
660.0000	0.00416
659.0000	0.00415
658.0000	0.00424
657.0000	0.00433
656.0000	0.00425
655.0000	0.00423
654.0000	0.00429
653.0000	0.00432
652.0000	0.00433
651.0000	0.00425
650.0000	0.0044
649.0000	0.00443
648.0000	0.00449
647.0000	0.00449
646.0000	0.00453
645.0000	0.00457
644.0000	0.00465
643.0000	0.00462
642.0000	0.0046
641.0000	0.00462
640.0000	0.00466
639.0000	0.00479
638.0000	0.00482
637.0000	0.0049
636.0000	0.00505
635.0000	0.00519
634.0000	0.00521
633.0000	0.00524
632.0000	0.00527
